building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,*location_quality_Grade(Numeric),*premise_quality-grade(Numeric),listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,venting,previous_tenant,notes
10 Morton Street,Vacant ,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,724,0,0,,1,15,482,32.1333333333333,Standard,Yes,West Village,2,724,10014,983267,205654,Existing,1,Manhattan,1-586-57,586,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-586-57-1,,,,,,
12 Morton Street,Bosie Tea Parlor,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,2250,0,0,,1,20,2250,112.5,Standard,Yes,West Village,2,2250,10014,983267,205654,Existing,1,Manhattan,1-586-57,586,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-586-57-2,,,,,,
41 7 Avenue S,Beauty Beauty Int'l Group,Occupied,Unavailable,Personal Services,,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1921.5,0,1921.5,,1,20,3843,192.15,Standard,Yes,West Village,1,3843,10014,983144,205590,Existing,1,Manhattan,1-586-7502,586,7502,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-586-7502-1,,,,,,
62 Bedford Street,Bedford Street Laundry,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,30 ,Street Frontage,0,647.4,0,0,,1,15,647.4,43.16,Standard,Yes,West Village,3,647.4,10014,982995,205655,Existing,1,Manhattan,1-587-1,587,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-1-1,,,,,,
60 Bedford Street,Jussara Lee,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$$$,North American,,,2 - Average,2 - Average,4,Average,Yes,35 ,Street Frontage,0,755.3,0,0,,1,25,755.3,30.212,Standard,Yes,West Village,3,755.3,10014,982995,205655,Existing,1,Manhattan,1-587-1,587,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-587-1-2,,,,,,
27 1/2 Morton Street,Doma Na Rohu,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,Yes,35 ,Street Frontage,0,755.3,0,0,,1,40,755.3,18.8825,Standard,Yes,West Village,3,755.3,10014,982995,205655,Existing,1,Manhattan,1-587-1,587,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,3,1-587-1-3,,,,,,
14 Commerce Street,Vacant,Vacant,Unavailable,Blank,,,,,Hip,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,782,0,0,,1,100,782,7.82,Standard,Yes,West Village,1,782,10014,983109,205857,Existing,1,Manhattan,1-587-16,587,16,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-16-1,,,,,,
59 7 Avenue South,Caliente Cab Co,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,South American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,620,0,0,,1,20,620,31,Standard,Yes,West Village,1,620,10014,983229,205844,Existing,1,Manhattan,1-587-20,587,20,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-20-1,,,,,,
51 7 Avenue South A,Gifted,Occupied,Unavailable,Gifts and Memorabilia,"Gift Shop, Memorabilia and Souvenirs",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,20 ,Street Frontage,0,783,0,0,,1,20,783,39.15,Standard,Yes,West Village,3,783,10014,983222,205770,Existing,1,Manhattan,1-587-30,587,30,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-30-1,,,,,,
51 7 Avenue South B,7th Heaven Hair Salon,Occupied,Unavailable,Personal Services,"Hair Studio, Barber",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,35 ,Street Frontage,0,1370.25,0,0,,1,15,1370.25,91.35,Standard,Yes,West Village,3,1370.25,10014,983222,205770,Existing,1,Manhattan,1-587-30,587,30,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-587-30-2,,,,,,
55 7 Avenue South,Orchid Art Gallery Inc.,Occupied,Unavailable,Household Goods,Home Decor,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,45 ,Street Frontage,0,1761.75,0,0,,1,20,1761.75,88.0875,Standard,Yes,West Village,3,1761.75,10014,983222,205770,Existing,1,Manhattan,1-587-30,587,30,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,3,1-587-30-3,,,,,,
56 7 Avenue South,Greenwich Locksmiths,Occupied,Unavailable,"Building, Garden, Animal",Hardware,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,113,0,0,,1,15,113,7.53333333333333,Standard,Yes,West Village,1,113,10014,983079,205780,Existing,1,Manhattan,1-587-35,587,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-35-1,,,,,,
19 Commerce Street A,Phil Luangrath,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,932.91,0,0,,1,15,932.91,62.194,Standard,Yes,West Village,3,932.91,10014,983002,205911,Existing,1,Manhattan,1-587-46,587,46,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-46-1,,,,,,
19 Commerce Street B,Milk & Cookies,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,932.91,0,0,Step up,1,15,932.91,62.194,Standard,Yes,West Village,3,932.91,10014,983002,205911,Existing,1,Manhattan,1-587-46,587,46,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-587-46-2,,,,,,
23 Commerce Street,Sushi Nakazawa,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,Asian,,,2 - Average,2 - Average,4,Average,No,34 ,Street Frontage,0,961.18,0,0,Step up,1,15,961.18,64.0786666666667,Standard,Yes,West Village,3,961.18,10014,983002,205911,Existing,1,Manhattan,1-587-46,587,46,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,3,1-587-46-3,,,,,,
74 7 Avenue South,Duet,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1600,0,0,,1,45,1600,35.5555555555556,Standard,Yes,West Village,1,1600,10014,983175,206008,Existing,1,Manhattan,1-587-56,587,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-56-1,,,,,,
70 7 Avenue South,Ramen Thukpa,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,Asian,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,960,0,0,,1,15,960,64,Standard,Yes,West Village,1,960,10014,983146,205952,Existing,1,Manhattan,1-587-61,587,61,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-61-1,,,,,,
72 Bedford Street B,Casa,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,South American,,,2 - Average,2 - Average,4,Average,Yes,55 ,Street Frontage,0,742.5,0,0,,1,30,742.5,24.75,Standard,Yes,West Village,2,742.5,10014,982939,205776,Existing,1,Manhattan,1-587-7,587,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-587-7-2,,,,,,
47 7 Avenue South,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1942,0,0,,1,60,1942,32.3666666666667,Standard,Yes,West Village,1,1942,10014,983182,205735,Existing,1,Manhattan,1-587-7502,587,7502,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-587-7502-1,,,,,,
42 Grove Street,Buvette,Occupied,Unavailable,Restaurant & Bar,Restaurant,International Presence,$$$,European,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,4200,0,0,,1,15,4200,280,High,Yes,West Village,1,4200,10014,983058,206180,Existing,1,Manhattan,1-588-18,588,18,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-588-18-1,,,,,,
298 Bleecker Street,Five Guys,Occupied,Unavailable,Restaurant & Bar,Fast Food,Regional Presence,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,50 ,Street Frontage,0,1221,0,1221,,2,30,2442,81.4,Standard,Yes,West Village,1,2442,10014,983174,206079,Existing,1,Manhattan,1-588-29,588,29,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-588-29-1,,,,,,
122 Christopher Street A ,Lima's Taste ,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,South American,,,2 - Average,2 - Average,4,Average,Yes,25 ,Street Frontage,0,405,0,0,,1,15,405,27,Standard,Yes,West Village,4,405,10014,982699,206325,Existing,1,Manhattan,1-588-45,588,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-588-45-1,,,,,,
122 Christopher Street B,K&T Nail & Spa,Occupied,Unavailable,Personal Services,Nail Studio,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,405,0,0,,1,15,405,27,Standard,Yes,West Village,4,405,10014,982699,206325,Existing,1,Manhattan,1-588-45,588,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-588-45-2,,,,,,
120 Christopher Street A,Christopher Street Cleaners ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,405,0,0,,1,15,405,27,Standard,Yes,West Village,4,405,10014,982699,206325,Existing,1,Manhattan,1-588-45,588,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,3,1-588-45-3,,,,,,
120 Christopher Street B,Baoguette & Pho Sure,Occupied,Available,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,Asian,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,405,0,0,,1,15,405,27,Standard,Yes,West Village,4,405,10014,982699,206325,Existing,1,Manhattan,1-588-45,588,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,4,1-588-45-4,,,,,,
118 Christopher Street ,Karahi Indian Cuisine,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,Asian,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1062.5,0,0,,1,15,1062.5,70.8333333333333,Standard,Yes,West Village,2,1062.5,10014,982740,206341,Existing,1,Manhattan,1-588-47,588,47,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-588-47-1,,,,,,
118 Christopher Street B,Pinto,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,Asian,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1062.5,0,0,,1,15,1062.5,70.8333333333333,Standard,Yes,West Village,2,1062.5,10014,982740,206341,Existing,1,Manhattan,1-588-47,588,47,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-588-47-2,,,,,,
114 Christopher Street,Ty's Bar NYC,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,1315.71,0,0,,1,25,1315.71,52.6284,Standard,Yes,West Village,3,1315.71,10014,982780,206340,Existing,1,Manhattan,1-588-48,588,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-588-48-1,,,,,,
116 Christopher Street B,Pet's Kitchen,Occupied,Unavailable,"Building, Garden, Animal",Pet Related,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,1315.71,0,0,,1,15,1315.71,87.714,Standard,Yes,West Village,3,1315.71,10014,982780,206340,Existing,1,Manhattan,1-588-48,588,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-588-48-2,,,,,,
116 Christopher Street A,Jonty Jacobs,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,African,,,2 - Average,2 - Average,4,Average,No,34 ,Street Frontage,0,1355.58,0,0,,1,15,1355.58,90.372,Standard,Yes,West Village,3,1355.58,10014,982780,206340,Existing,1,Manhattan,1-588-48,588,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,3,1-588-48-3,,,,,,
90 Bedford A,The Little Owl,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1056,0,0,,1,30,1056,35.2,High,Yes,West Village,2,1056,10014,982795,206071,Existing,1,Manhattan,1-588-6,588,6,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-588-6-1,,,,,,
90 Bedford B,Moustache,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1056,0,0,,1,25,1056,42.24,Standard,Yes,West Village,2,1056,10014,982795,206071,Existing,1,Manhattan,1-588-6,588,6,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-588-6-2,,,,,,
39 Grove Street,Ledershosen NYC,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,Traditional,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1350,0,0,,1,15,1350,90,Standard,Yes,West Village,1,1350,10014,982992,206311,Existing,1,Manhattan,1-588-70,588,70,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-588-70-1,,,,,,
30 Cornelia Street A,Cornelia Street Laundromat ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,575,0,0,Step up,1,12,575,47.9166666666667,Standard,Yes,West Village,2,575,10014,983581,205642,Existing,1,Manhattan,1-589-12,589,12,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-12-1,,,,,,
30 Cornelia Street B,Aperitivo di palma,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,575,0,0,Step up,1,15,575,38.3333333333333,Standard,Yes,West Village,2,575,10014,983581,205642,Existing,1,Manhattan,1-589-12,589,12,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-589-12-2,,,,,,
18 Cornelia Street,Le Gigot,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,No,30 ,Street Frontage,0,756,0,0,Step up,1,15,756,50.4,Standard,Yes,West Village,3,756,10014,983697,205703,Existing,1,Manhattan,1-589-17,589,17,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-17-1,,,,,,
329 6 Avenue,Jewels 32,Occupied,Unavailable,Accessories,Jewelry,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,500,0,0,,1,15,500,33.3333333333333,Standard,Yes,West Village,2,500,10014,983809,205739,Existing,1,Manhattan,1-589-29,589,29,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-589-29-1,,,,,,
