building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active
253 6 Avenue,Vacant,Vacant,Unavailable,Blank,,Blank,,Blank,,,3 - High Quality,2 - Average,5,Good,No,40 ,Street Frontage,0,720,0,0,None,1,5,720,144,Standard,Yes,West Village,2,1800,10014,983446,204748,Existing,1,Manhattan,1-527-48,527,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
176 West Houston A,JR Properties ,Occupied,Unavailable,Other Services,Other Services,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,405,0,0,None,15,,405,?,Standard,Yes,West Village,2,810,10014,983420,204801,Existing,1,Manhattan,1-527-50,527,50,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
176 West Houston Street B,MBJ Dry Cleaners ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,405,0,0,None,1,15,405,27,Standard,Yes,West Village,2,810,10014,983420,204801,Existing,1,Manhattan,1-527-50,527,50,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
178 West Houston A,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,412.5,0,0,None,1,10,412.5,41.25,Standard,Yes,West Village,2,825,10014,983397,204815,Existing,1,Manhattan,1-527-51,527,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
178 West Houston B,Shair,Occupied,Unavailable,Personal Services,"Hair Studio, Barber","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,412.5,0,0,None,1,10,412.5,41.25,Standard,Yes,West Village,2,825,10014,983397,204815,Existing,1,Manhattan,1-527-51,527,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
52 Carmine Street A,Carmine Street Beers,Occupied,Unavailable,Other Services,Other Services,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,400,0,0,None,1,15,400,26.6666666666667,Standard,Yes,West Village,2,800,10014,983255,205147,Existing,1,Manhattan,1-527-56,527,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
52 Carmine Street B,Spirits of Carmine,Occupied,Unavailable,Liquor Store,Liquor Store,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,400,0,0,None,1,15,400,26.6666666666667,Standard,Yes,West Village,2,800,10014,983255,205147,Existing,1,Manhattan,1-527-56,527,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
34 Carmine Street,Unoppressive Non-Imperialist Bargain Books,Occupied,Unavailable,Books,Book Stores,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,66 ,Street Frontage,0,2000,0,0,None,1,35,2000,57.1428571428571,Standard,Yes,West Village,2,3000,10014,983410,205216,Existing,1,Manhattan,1-527-64,527,64,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
34 Carmine Street,Wisdom of Tibet,Occupied,Unavailable,Gifts and Memorabilia,Blank,"Independent local, Local Chain",$$,Blank,,,2 - Average,2 - Average,4,Average,No,33 ,,0,1000,0,0,None,,,1000,?,Standard,Yes,West Village,2,3000,10014,983410,205216,Existing,1,Manhattan,1-527-64,527,64,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
26 Carmine Street ,Noodle Bar,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,Asian,,,3 - High Quality,2 - Average,5,Good,No,40 ,Street Frontage,0,452,0,0,None,1,15,452,30.1333333333333,Standard,Yes,West Village,2,1130,10014,983498,205250,Existing,1,Manhattan,1-527-69,527,69,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
28 Carmine Street,No. 28 Pizza From Napoli,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,European,,,3 - High Quality,2 - Average,5,Good,No,60 ,Street Frontage,0,2200,0,0,None,1,30,2200,73.3333333333333,Standard,Yes,West Village,2,1130,10014,983498,205250,Existing,1,Manhattan,1-527-69,527,69,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
14 Bedford Street A,Blue Ribbon Bakery,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Regional Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1193.5,0,0,None,1,15,1193.5,79.5666666666667,Standard,Yes,West Village,2,2387,10014,983337,204933,Existing,1,Manhattan,1-527-7,527,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
14 Bedford Street B,Abbottega,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,1193.5,0,0,None,1,20,1193.5,59.675,Standard,Yes,West Village,2,2387,10014,983337,204933,Existing,1,Manhattan,1-527-7,527,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
228 Bleecker Street A,AT&T Wireless ,Occupied,Unavailable,Electronics,"Computer, Cellular & Other Hardware",National Chain,$$,North American,,,3 - High Quality,2 - Average,5,Good,No,20 ,Street Frontage,0,808.5,0,0,None,1,10,808.5,80.85,Standard,Yes,West Village,3,2450,10014,983545,205272,Existing,1,Manhattan,1-527-72,527,72,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
228 Bleecker Street B,Molly's Cupcakes,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food","Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,No,40 ,Street Frontage,0,833,0,0,None,1,35,833,23.8,Standard,Yes,West Village,3,2450,10014,983545,205272,Existing,1,Manhattan,1-527-72,527,72,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
232 Bleecker Street,Trattoria Spaghetto,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,European,,,3 - High Quality,2 - Average,5,Good,Yes,40 ,Street Frontage,0,808.5,0,0,None,1,50,808.5,16.17,Standard,Yes,West Village,3,2450,10014,983545,205272,Existing,1,Manhattan,1-527-72,527,72,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
324 Bowery A,Think Coffee,Occupied,Unavailable,Restaurant & Bar,Cafe,"Independent local, Local Chain",$$$$,North American,,,3 - High Quality,2 - Average,5,Good,Yes,70 ,Street Frontage,0,706.3,0,0,None,1,40,706.3,17.6575,Standard,Yes,East Village,2,1009,10012,986345,203593,Existing,1,Manhattan,1-529-140,529,140,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
324 Bowery B,Agozar,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,South American,,,3 - High Quality,2 - Average,5,Good,No,30 ,Street Frontage,0,302.7,0,0,None,1,15,302.7,20.18,Standard,Yes,East Village,2,1009,10012,986345,203593,Existing,1,Manhattan,1-529-140,529,140,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
33 Bond St,Dashwood Books ,Occupied,Unavailable,Books,Book Stores,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,1630,0,0,0,Step down,1,30,1630,54.3333333333333,Standard,Yes,East Village,2,3260,10012,986036,203795,Existing,1,Manhattan,1-529-26,529,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
33 Bond St ,Vitsoe ,Occupied,Unavailable,Household Goods,Home Decor,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,0,1630,0,Step up,1,30,1630,54.3333333333333,Standard,Yes,East Village,2,3260,10012,986036,203795,Existing,1,Manhattan,1-529-26,529,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
39 Bond St,Lobel Modern ,Occupied,Unavailable,Gallery,Art,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,3585,0,0,None,1,40,3585,89.625,High,Yes,East Village,2,7170,10012,986079,203777,Existing,1,Manhattan,1-529-27,529,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
35 Bond St ,Modernlink ,Occupied,Unavailable,Household Goods,Home Decor,National Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,3585,0,0,None,1,50,3585,71.7,High,Yes,East Village,2,7170,10012,986079,203777,Existing,1,Manhattan,1-529-27,529,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
55 Bond Street,Le Philosophe,Occupied,Unavailable,Restaurant & Bar,,,,,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,2882,0,0,None,1,,2882,?,Standard,Yes,East Village,2,5764,10012,986269,203679,Existing,1,Manhattan,1-529-35,529,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
53 Bond Street,Mile End Deli,Occupied,Unavailable,Restaurant & Bar,Restaurant,Regional Chain,$$$$,North American,Organic,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,2882,0,0,None,1,20,2882,144.1,Standard,Yes,East Village,2,5764,10012,986269,203679,Existing,1,Manhattan,1-529-35,529,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
339 Lafayette Street,KD Dance ,Occupied,Unavailable,Other Services,Other Services,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,Yes,50 ,Street Frontage,0,1575,0,0,None,1,60,1575,26.25,Standard,Yes,East Village,3,3150,10012,985821,203796,Existing,1,Manhattan,1-529-65,529,65,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
341 Lafayette Street,Love Thy Beast,Occupied,Unavailable,"Building, Garden, Animal",Pet Related,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,30 ,Street Frontage,0,945,0,0,None,1,45,945,21,Standard,Yes,East Village,3,3150,10012,985821,203796,Existing,1,Manhattan,1-529-65,529,65,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
345 Lafayette ,BrowNY International ,Occupied,Unavailable,Apparel,Clothing,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,20 ,Street Frontage,0,650,0,0,None,1,40,650,16.25,Standard,Yes,East Village,3,3150,10012,985821,203796,Existing,1,Manhattan,1-529-65,529,65,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
338 Lafayette Street ,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,20 ,Street Frontage,0,1607,0,0,None,1,25,1607,64.28,Standard,Yes,East Village,4,8035,10012,985706,203864,Existing,1,Manhattan,1-529-69,529,69,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
346 Lafayette St,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,20 ,Street Frontage,0,1607,0,0,None,1,40,1607,40.175,Standard,Yes,East Village,4,8035,10012,985706,203864,Existing,1,Manhattan,1-529-69,529,69,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
57-63 Bleecker ,Shapiro Hardware ,Occupied,Available,"Building, Garden, Animal",Hardware,"Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,Yes,40 ,Street Frontage,0,3214,0,0,None,1,60,3214,53.5666666666667,Standard,Yes,East Village,4,8035,10012,985706,203864,Existing,1,Manhattan,1-529-69,529,69,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
63 Bleecker ,City Hats ,Occupied,Available,Apparel,Clothing,"Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,No,20 ,Street Frontage,0,1607,0,0,None,1,45,1607,35.7111111111111,High,Yes,East Village,4,8035,10012,985706,203864,Existing,1,Manhattan,1-529-69,529,69,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
65 Bleecker ,Todd Merrill Antiques ,Occupied,Unavailable,Household Goods,Home Decor,"Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,No,50 ,Street Frontage,0,5392,0,0,None,1,60,5392,89.8666666666667,High,Yes,East Village,2,10785,10012,985637,203909,Existing,1,Manhattan,1-529-72,529,72,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
65 Bleecker ,Le Pain Quotidien ,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",National Chain,$$,European,,,3 - High Quality,3 - High Quality,6,Prime,No,50 ,Street Frontage,0,5392,0,0,None,1,75,5392,71.8933333333333,High,Yes,East Village,2,10785,10012,985637,203909,Existing,1,Manhattan,1-529-72,529,72,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
230 Mercer Street ,New York Sports Club ,Occupied,Unavailable,Gym,Gym,Regional Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,15000,0,0,None,2,60,15000,250,High,Yes,NoHo,3,30000,10012,985439,204288,Existing,1,Manhattan,1-532-15,532,15,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
665 Broadway ,Starbucks,Occupied,Unavailable,Restaurant & Bar,Cafe,International Chain,$$$$,North American,,,3 - High Quality,2 - Average,5,Good,No,25 ,Street Frontage,0,7500,0,0,None,1,30,7500,250,Standard,Yes,NoHo,3,30000,10012,985439,204288,Existing,1,Manhattan,1-532-15,532,15,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
665 Broadway ,It'Sugar ,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",International Chain,$$,North American,,,3 - High Quality,2 - Average,5,Good,No,25 ,Street Frontage,0,7500,0,0,None,1,55,7500,136.363636363636,High,Yes,NoHo,3,30000,10012,985439,204288,Existing,1,Manhattan,1-532-15,532,15,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
657 Broadway ,Yogorino,Occupied,Unavailable,Restaurant & Bar,Cafe,"Independent local, Local Chain",$$,North American,,,2 - Average,3 - High Quality,5,Good,No,15 ,Street Frontage,0,476,0,0,None,1,18,476,26.4444444444444,High,Yes,NoHo,6,4920,10012,985381,204197,Existing,1,Manhattan,1-532-20,532,20,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
649 Broadway,Sprint,Occupied,Unavailable,Electronics,"Computer, Cellular & Other Hardware",National Chain,$$,North American,,,2 - Average,3 - High Quality,5,Good,No,15 ,Street Frontage,0,738,0,0,None,1,24,738,30.75,High,Yes,NoHo,6,4920,10012,985381,204197,Existing,1,Manhattan,1-532-20,532,20,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
659 Broadway ,Blades ,Occupied,Unavailable,Sporting Goods,Sporting Apparel,"Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,No,25 ,Street Frontage,0,1230,0,0,None,1,75,1230,16.4,High,Yes,NoHo,6,4920,10012,985381,204197,Existing,1,Manhattan,1-532-20,532,20,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
651 Broadway ,Eyes on Broadway ,Occupied,Unavailable,Health and Personal Care,Optical,"Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,No,15 ,Street Frontage,0,738,0,0,None,1,35,738,21.0857142857143,High,Yes,NoHo,6,4920,10012,985381,204197,Existing,1,Manhattan,1-532-20,532,20,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
653 Broadway ,Maria Tash ,Occupied,Unavailable,Personal Services,Blank,"Independent local, Local Chain",$$$$,North American,,,3 - High Quality,2 - Average,5,Good,No,15 ,Street Frontage,0,738,0,0,None,1,35,738,21.0857142857143,High,Yes,NoHo,6,4920,10012,985381,204197,Existing,1,Manhattan,1-532-20,532,20,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
655 Broadway ,Nu Newyork,Occupied,Unavailable,Apparel,Clothing,"Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,No,15 ,Street Frontage,0,738,0,0,None,1,25,738,29.52,High,Yes,NoHo,6,4920,10012,985381,204197,Existing,1,Manhattan,1-532-20,532,20,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
